Project,Course Code,Course Title,Course UniqueID,QuestionKey,Enrollments,Respondents,ResponseRate,Mean,Std,Value,OptionRespondents,OptionResponseRate,Comments,BenchmarkLabel1,BenchmarkMean1,BenchmarkStd1
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496793-0,17,12,70.58823395,4.333333492,0.984731913,4,3,25,,Professors in Department,4.075089804,0.930146696
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496793-0,17,12,70.58823395,4.333333492,0.984731913,3,1,8.333333015,,Professors in Department,4.075089804,0.930146696
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496793-0,17,12,70.58823395,4.333333492,0.984731913,2,1,8.333333015,,Professors in Department,4.075089804,0.930146696
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.EP7.31745,Advanced Software Engineering,wl.202120.ECE.59500.EP7.31745,496793-0,1,1,100,5,0,5,1,100,,Professors in Department,4.075089804,0.930146696
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OLA.31445,Advanced Software Engineering,wl.202120.ECE.59500.OLA.31445,496793-0,6,6,100,4.833333492,0.408248305,5,5,83.33333588,,Professors in Department,4.075089804,0.930146696
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OLA.31445,Advanced Software Engineering,wl.202120.ECE.59500.OLA.31445,496793-0,6,6,100,4.833333492,0.408248305,4,1,16.66666603,,Professors in Department,4.075089804,0.930146696
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OX8.32295,Advanced Software Engineering,wl.202120.ECE.59500.OX8.32295,496793-0,10,4,40,5,0,5,4,100,,Professors in Department,4.075089804,0.930146696
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496794-0,99,44,44.44444275,4.409090996,0.692759275,5,22,50,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496794-0,99,44,44.44444275,4.409090996,0.692759275,4,19,43.18181992,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496794-0,99,44,44.44444275,4.409090996,0.692759275,3,2,4.545454502,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496794-0,99,44,44.44444275,4.409090996,0.692759275,2,1,2.272727251,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.002.28580,Software Engineering Tools,wl.202110.ECE.49595.002.28580,496794-0,5,3,60,4.666666508,0.577350259,5,2,66.66666412,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.002.28580,Software Engineering Tools,wl.202110.ECE.49595.002.28580,496794-0,5,3,60,4.666666508,0.577350259,4,1,33.33333206,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.004.28582,Software Engineering Tools,wl.202110.ECE.49595.004.28582,496794-0,3,3,100,4,1,5,1,33.33333206,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.004.28582,Software Engineering Tools,wl.202110.ECE.49595.004.28582,496794-0,3,3,100,4,1,4,1,33.33333206,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.004.28582,Software Engineering Tools,wl.202110.ECE.49595.004.28582,496794-0,3,3,100,4,1,3,1,33.33333206,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.006.28584,Software Engineering Tools,wl.202110.ECE.49595.006.28584,496794-0,7,5,71.42857361,4.400000095,0.547722578,5,2,40,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.006.28584,Software Engineering Tools,wl.202110.ECE.49595.006.28584,496794-0,7,5,71.42857361,4.400000095,0.547722578,4,3,60,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.007.28585,Software Engineering Tools,wl.202110.ECE.49595.007.28585,496794-0,7,2,28.5714283,2.5,2.121320248,4,1,50,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.007.28585,Software Engineering Tools,wl.202110.ECE.49595.007.28585,496794-0,7,2,28.5714283,2.5,2.121320248,1,1,50,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.008.28586,Software Engineering Tools,wl.202110.ECE.49595.008.28586,496794-0,22,13,59.09090805,4.307692528,1.182131886,5,8,61.53845978,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.008.28586,Software Engineering Tools,wl.202110.ECE.49595.008.28586,496794-0,22,13,59.09090805,4.307692528,1.182131886,4,3,23.07692337,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.008.28586,Software Engineering Tools,wl.202110.ECE.49595.008.28586,496794-0,22,13,59.09090805,4.307692528,1.182131886,3,1,7.692307472,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.008.28586,Software Engineering Tools,wl.202110.ECE.49595.008.28586,496794-0,22,13,59.09090805,4.307692528,1.182131886,1,1,7.692307472,,Professors in Department,3.993641166,1.05797999
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496794-0,17,12,70.58823395,4,0.852802873,5,3,25,,Professors in Department,3.993641166,1.05797999
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496794-0,17,12,70.58823395,4,0.852802873,4,7,58.33333206,,Professors in Department,3.993641166,1.05797999
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496794-0,17,12,70.58823395,4,0.852802873,3,1,8.333333015,,Professors in Department,3.993641166,1.05797999
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496794-0,17,12,70.58823395,4,0.852802873,2,1,8.333333015,,Professors in Department,3.993641166,1.05797999
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.EP7.31745,Advanced Software Engineering,wl.202120.ECE.59500.EP7.31745,496794-0,1,1,100,5,0,5,1,100,,Professors in Department,3.993641166,1.05797999
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OLA.31445,Advanced Software Engineering,wl.202120.ECE.59500.OLA.31445,496794-0,6,6,100,3.666666746,1.032795548,5,1,16.66666603,,Professors in Department,3.993641166,1.05797999
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OLA.31445,Advanced Software Engineering,wl.202120.ECE.59500.OLA.31445,496794-0,6,6,100,3.666666746,1.032795548,4,3,50,,Professors in Department,3.993641166,1.05797999
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OLA.31445,Advanced Software Engineering,wl.202120.ECE.59500.OLA.31445,496794-0,6,6,100,3.666666746,1.032795548,3,1,16.66666603,,Professors in Department,3.993641166,1.05797999
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OLA.31445,Advanced Software Engineering,wl.202120.ECE.59500.OLA.31445,496794-0,6,6,100,3.666666746,1.032795548,2,1,16.66666603,,Professors in Department,3.993641166,1.05797999
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OX8.32295,Advanced Software Engineering,wl.202120.ECE.59500.OX8.32295,496794-0,10,4,40,4.5,0.577350259,5,2,50,,Professors in Department,3.993641166,1.05797999
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OX8.32295,Advanced Software Engineering,wl.202120.ECE.59500.OX8.32295,496794-0,10,4,40,4.5,0.577350259,4,2,50,,Professors in Department,3.993641166,1.05797999
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496872-0,99,44,44.44444275,4.454545498,0.729910672,5,25,56.81818008,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496872-0,99,44,44.44444275,4.454545498,0.729910672,4,15,34.09090805,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496872-0,99,44,44.44444275,4.454545498,0.729910672,3,3,6.818181992,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496872-0,99,44,44.44444275,4.454545498,0.729910672,2,1,2.272727251,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.002.28580,Software Engineering Tools,wl.202110.ECE.49595.002.28580,496872-0,5,3,60,5,0,5,3,100,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.004.28582,Software Engineering Tools,wl.202110.ECE.49595.004.28582,496872-0,3,3,100,4,1,5,1,33.33333206,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.004.28582,Software Engineering Tools,wl.202110.ECE.49595.004.28582,496872-0,3,3,100,4,1,4,1,33.33333206,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.004.28582,Software Engineering Tools,wl.202110.ECE.49595.004.28582,496872-0,3,3,100,4,1,3,1,33.33333206,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.006.28584,Software Engineering Tools,wl.202110.ECE.49595.006.28584,496872-0,7,5,71.42857361,4.800000191,0.44721359,5,4,80,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.006.28584,Software Engineering Tools,wl.202110.ECE.49595.006.28584,496872-0,7,5,71.42857361,4.800000191,0.44721359,4,1,20,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.007.28585,Software Engineering Tools,wl.202110.ECE.49595.007.28585,496872-0,7,2,28.5714283,3,2.828427076,5,1,50,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.007.28585,Software Engineering Tools,wl.202110.ECE.49595.007.28585,496872-0,7,2,28.5714283,3,2.828427076,1,1,50,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.008.28586,Software Engineering Tools,wl.202110.ECE.49595.008.28586,496872-0,22,13,59.09090805,4.461538315,1.198289394,5,10,76.92308044,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.008.28586,Software Engineering Tools,wl.202110.ECE.49595.008.28586,496872-0,22,13,59.09090805,4.461538315,1.198289394,4,1,7.692307472,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.008.28586,Software Engineering Tools,wl.202110.ECE.49595.008.28586,496872-0,22,13,59.09090805,4.461538315,1.198289394,3,1,7.692307472,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.008.28586,Software Engineering Tools,wl.202110.ECE.49595.008.28586,496872-0,22,13,59.09090805,4.461538315,1.198289394,1,1,7.692307472,,Professors in Department,4.055615182,1.01262037
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496872-0,17,12,70.58823395,4.083333492,0.996204913,5,5,41.66666794,,Professors in Department,4.055615182,1.01262037
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496872-0,17,12,70.58823395,4.083333492,0.996204913,4,4,33.33333206,,Professors in Department,4.055615182,1.01262037
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496872-0,17,12,70.58823395,4.083333492,0.996204913,3,2,16.66666603,,Professors in Department,4.055615182,1.01262037
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496872-0,17,12,70.58823395,4.083333492,0.996204913,2,1,8.333333015,,Professors in Department,4.055615182,1.01262037
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.EP7.31745,Advanced Software Engineering,wl.202120.ECE.59500.EP7.31745,496872-0,1,1,100,5,0,5,1,100,,Professors in Department,4.055615182,1.01262037
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OLA.31445,Advanced Software Engineering,wl.202120.ECE.59500.OLA.31445,496872-0,6,6,100,3.5,1.048808813,5,1,16.66666603,,Professors in Department,4.055615182,1.01262037
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OLA.31445,Advanced Software Engineering,wl.202120.ECE.59500.OLA.31445,496872-0,6,6,100,3.5,1.048808813,4,2,33.33333206,,Professors in Department,4.055615182,1.01262037
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OLA.31445,Advanced Software Engineering,wl.202120.ECE.59500.OLA.31445,496872-0,6,6,100,3.5,1.048808813,3,2,33.33333206,,Professors in Department,4.055615182,1.01262037
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OLA.31445,Advanced Software Engineering,wl.202120.ECE.59500.OLA.31445,496872-0,6,6,100,3.5,1.048808813,2,1,16.66666603,,Professors in Department,4.055615182,1.01262037
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OX8.32295,Advanced Software Engineering,wl.202120.ECE.59500.OX8.32295,496872-0,10,4,40,4.75,0.5,5,3,75,,Professors in Department,4.055615182,1.01262037
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OX8.32295,Advanced Software Engineering,wl.202120.ECE.59500.OX8.32295,496872-0,10,4,40,4.75,0.5,4,1,25,,Professors in Department,4.055615182,1.01262037
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496873-0,99,43,43.43434525,4.511627674,0.702786744,5,26,60.46511459,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496873-0,99,43,43.43434525,4.511627674,0.702786744,4,14,32.5581398,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496873-0,99,43,43.43434525,4.511627674,0.702786744,3,2,4.651162624,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496873-0,99,43,43.43434525,4.511627674,0.702786744,2,1,2.325581312,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.002.28580,Software Engineering Tools,wl.202110.ECE.49595.002.28580,496873-0,5,3,60,4.666666508,0.577350259,5,2,66.66666412,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.002.28580,Software Engineering Tools,wl.202110.ECE.49595.002.28580,496873-0,5,3,60,4.666666508,0.577350259,4,1,33.33333206,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.004.28582,Software Engineering Tools,wl.202110.ECE.49595.004.28582,496873-0,3,3,100,4.333333492,0.577350259,5,1,33.33333206,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.004.28582,Software Engineering Tools,wl.202110.ECE.49595.004.28582,496873-0,3,3,100,4.333333492,0.577350259,4,2,66.66666412,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.006.28584,Software Engineering Tools,wl.202110.ECE.49595.006.28584,496873-0,7,5,71.42857361,4.599999905,0.547722578,5,3,60,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.006.28584,Software Engineering Tools,wl.202110.ECE.49595.006.28584,496873-0,7,5,71.42857361,4.599999905,0.547722578,4,2,40,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.007.28585,Software Engineering Tools,wl.202110.ECE.49595.007.28585,496873-0,7,2,28.5714283,4.5,0.707106769,5,1,50,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.007.28585,Software Engineering Tools,wl.202110.ECE.49595.007.28585,496873-0,7,2,28.5714283,4.5,0.707106769,4,1,50,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.008.28586,Software Engineering Tools,wl.202110.ECE.49595.008.28586,496873-0,22,13,59.09090805,4.615384579,0.50636971,5,8,61.53845978,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.008.28586,Software Engineering Tools,wl.202110.ECE.49595.008.28586,496873-0,22,13,59.09090805,4.615384579,0.50636971,4,5,38.46154022,,Professors in Department,3.978670388,1.000868615
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496873-0,17,12,70.58823395,3.833333254,0.834847093,5,3,25,,Professors in Department,3.978670388,1.000868615
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496873-0,17,12,70.58823395,3.833333254,0.834847093,4,4,33.33333206,,Professors in Department,3.978670388,1.000868615
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.014.31216,Advanced Software Engineering,wl.202120.ECE.59500.014.31216,496873-0,17,12,70.58823395,3.833333254,0.834847093,3,5,41.66666794,,Professors in Department,3.978670388,1.000868615
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.EP7.31745,Advanced Software Engineering,wl.202120.ECE.59500.EP7.31745,496873-0,1,1,100,5,0,5,1,100,,Professors in Department,3.978670388,1.000868615
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OLA.31445,Advanced Software Engineering,wl.202120.ECE.59500.OLA.31445,496873-0,6,6,100,4.166666508,0.752772629,5,2,33.33333206,,Professors in Department,3.978670388,1.000868615
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OLA.31445,Advanced Software Engineering,wl.202120.ECE.59500.OLA.31445,496873-0,6,6,100,4.166666508,0.752772629,4,3,50,,Professors in Department,3.978670388,1.000868615
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OLA.31445,Advanced Software Engineering,wl.202120.ECE.59500.OLA.31445,496873-0,6,6,100,4.166666508,0.752772629,3,1,16.66666603,,Professors in Department,3.978670388,1.000868615
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OX8.32295,Advanced Software Engineering,wl.202120.ECE.59500.OX8.32295,496873-0,10,4,40,4.25,0.5,5,1,25,,Professors in Department,3.978670388,1.000868615
Spring 2021 16 Week 4/19-5/2 (1),wl.202120.ECE.59500.OX8.32295,Advanced Software Engineering,wl.202120.ECE.59500.OX8.32295,496873-0,10,4,40,4.25,0.5,4,3,75,,Professors in Department,3.978670388,1.000868615
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496874-0,99,44,44.44444275,4.477272511,0.664328158,5,25,56.81818008,,Professors in Department,3.808084811,1.07124619
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496874-0,99,44,44.44444275,4.477272511,0.664328158,4,15,34.09090805,,Professors in Department,3.808084811,1.07124619
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.36800.001.17766,Data Structures,wl.202110.ECE.36800.001.17766,496874-0,99,44,44.44444275,4.477272511,0.664328158,3,4,9.090909004,,Professors in Department,3.808084811,1.07124619
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.002.28580,Software Engineering Tools,wl.202110.ECE.49595.002.28580,496874-0,5,3,60,3.666666746,1.527525187,5,1,33.33333206,,Professors in Department,3.808084811,1.07124619
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.002.28580,Software Engineering Tools,wl.202110.ECE.49595.002.28580,496874-0,5,3,60,3.666666746,1.527525187,4,1,33.33333206,,Professors in Department,3.808084811,1.07124619
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.002.28580,Software Engineering Tools,wl.202110.ECE.49595.002.28580,496874-0,5,3,60,3.666666746,1.527525187,2,1,33.33333206,,Professors in Department,3.808084811,1.07124619
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.004.28582,Software Engineering Tools,wl.202110.ECE.49595.004.28582,496874-0,3,3,100,4,1,5,1,33.33333206,,Professors in Department,3.808084811,1.07124619
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.004.28582,Software Engineering Tools,wl.202110.ECE.49595.004.28582,496874-0,3,3,100,4,1,4,1,33.33333206,,Professors in Department,3.808084811,1.07124619
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.004.28582,Software Engineering Tools,wl.202110.ECE.49595.004.28582,496874-0,3,3,100,4,1,3,1,33.33333206,,Professors in Department,3.808084811,1.07124619
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.006.28584,Software Engineering Tools,wl.202110.ECE.49595.006.28584,496874-0,7,5,71.42857361,4,1,5,2,40,,Professors in Department,3.808084811,1.07124619
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.006.28584,Software Engineering Tools,wl.202110.ECE.49595.006.28584,496874-0,7,5,71.42857361,4,1,4,1,20,,Professors in Department,3.808084811,1.07124619
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.006.28584,Software Engineering Tools,wl.202110.ECE.49595.006.28584,496874-0,7,5,71.42857361,4,1,3,2,40,,Professors in Department,3.808084811,1.07124619
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.007.28585,Software Engineering Tools,wl.202110.ECE.49595.007.28585,496874-0,7,2,28.5714283,2,1.414213538,3,1,50,,Professors in Department,3.808084811,1.07124619
Fall 2020 16 Week 11/23-12/6 (1),wl.202110.ECE.49595.007.28585,Software Engineering Tools,wl.202110.ECE.49595.007.28585,496874-0,7,2,28.5714283,2,1.414213538,1,1,50,,Professors in Department,3.808084811,1.07124619
